name,mle,cilow,cihigh,areacutoff,nmutations,patient
wtru,1.5855893325878465,1.1607480275492834,2.165925310185055,0.93,0,PD13634
wall,1.1664048461341283,0.9756503500372569,1.3944547501399724,0.93,0,PD13634
wmis,1.1272965344865877,0.9400212003654521,1.351881719445713,0.9800000000000001,0,PD13634
wnon,1.4461497762136448,1.0012404508073356,2.0887581734801532,0.9800000000000001,0,PD13634
wspl,1.9410015791815587,1.1788501056521175,3.1959000659385803,0.9800000000000001,0,PD13634
wtru,1.5855893325878465,1.1607480275492834,2.165925310185055,0.9800000000000001,0,PD13634
wall,1.1664048461341283,0.9756503500372569,1.3944547501399724,0.9800000000000001,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.03,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.03,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.03,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.03,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.03,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.08,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.08,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.08,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.08,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.08,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.1300000000000001,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.1300000000000001,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.1300000000000001,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.1300000000000001,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.1300000000000001,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.1800000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.1800000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.1800000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.1800000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.1800000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.2300000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.2300000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.2300000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.2300000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.2300000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.28,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.28,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.28,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.28,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.28,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.33,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.33,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.33,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.33,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.33,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.3800000000000001,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.3800000000000001,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.3800000000000001,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.3800000000000001,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.3800000000000001,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.4300000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.4300000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.4300000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.4300000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.4300000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.4800000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.4800000000000002,0,PD13634
